metric,,,curvature,curvature,curvature,second_order_coeff_x,second_order_coeff_x,second_order_coeff_x,second_order_coeff_y,second_order_coeff_y,second_order_coeff_y,second_order_coeff_z,second_order_coeff_z,second_order_coeff_z
summary,,,median,low,high,median,low,high,median,low,high,median,low,high
fish,date,condition,,,,,,,,,,,,
Kyle,2020-11-25,well,14.340493766373013,8.6889090737103,23.10682608070524,-0.0002834427641924656,-0.0005128771532119894,5.3102615866732375e-05,-0.0002281175970782188,-0.0004445234850677612,7.821138245102057e-05,-0.00016122868449356217,-0.0006546131644536764,0.00011373399643560788
Kyle,2020-11-28,floor,14.757096029994527,8.637552918530695,23.82460517299008,-0.0003779066966756777,-0.0006587315005281167,-9.738018799013612e-05,-0.00015820175885956637,-0.0003775434423132088,0.00012856505663570874,-4.415875726944283e-05,-0.0002541974483658956,0.0001438717831480956
Kyle,2020-11-28,well,16.00741596603697,9.053419482767934,26.371231860257843,-0.0002606825362388202,-0.0006556610866472281,0.00014035557582851182,-0.00020330876176092682,-0.00045564723471674983,5.884799280659827e-05,-0.00012998259462439703,-0.0005142749648103246,0.00013675263445364023
Kyle,2020-12-01,floor,16.59886964104729,10.346610908722695,24.19724076040119,-0.00031751923475925966,-0.0006456711981400061,0.00013891324243138855,-0.0001783882836978374,-0.00040357145860400886,8.830490959606596e-05,-5.9750681545318136e-05,-0.00028983907473921147,0.00017605236952161432
Kyle,2020-12-01,well,14.208319340341236,9.362780560373027,21.69580335533057,-0.0003518314372438096,-0.000628155433482669,-5.406821755369736e-05,-0.00022461004162987062,-0.00041384369208393357,5.165281509216738e-05,-0.00013847455837215917,-0.00042783709151140276,0.0001421024793805754
Kyle,2020-12-03,floor,,,,,,,,,,,,
Kyle,2020-12-03,well,12.048304923755724,7.810685953243533,18.872203498581136,-0.0004081195676030754,-0.0005902276402703105,-0.00017978054805153725,-0.00012937835702695204,-0.0002672307261991048,7.341411718618553e-05,5.803163188549222e-05,-0.00010601609798525883,0.00029901110593322775
Kyle,2020-12-05,floor,11.795302485546149,7.758830208830554,17.357717677100663,-0.00039340691369444287,-0.0005442294507194041,-0.00021916626629736602,5.812948891959444e-06,-0.00017050371042584528,0.00019269768489630485,4.2514244861964506e-05,-0.00011817164340600559,0.00021011112900808324
Kyle,2020-12-05,well,10.699373778442677,7.364809176183721,16.67793315385652,-0.00031070291856082435,-0.0004700292491110295,-7.320364408016028e-05,-7.275220536551969e-05,-0.00026744991124748546,0.0001586197757265757,8.103208202939069e-05,-8.258136430494645e-05,0.00032765560337005384
Kyle,2020-12-07,floor,13.986933965001445,8.000363449793795,24.307547619666074,-0.00036995857352815356,-0.0006316329277603622,-8.936887989036658e-05,-0.00011788364821891489,-0.00033375145348441476,9.532278064396698e-05,7.52859663261322e-05,-0.0001240250834127527,0.00026779515214481474
Kyle,2020-12-07,well,,,,,,,,,,,,
Kyle,2020-12-09,floor,12.671425946917205,7.386302476151471,21.94346136389977,-0.00026363789369961046,-0.0005076824662825369,-5.2871092424028e-06,-3.456256675849745e-05,-0.000229699912614846,0.00015905448312151198,0.0001290114015744536,-0.00013902445434985105,0.0003430090905358063
Kyle,2020-12-09,well,9.5687647784378,6.5547339764952035,14.416321202707566,-0.0003675176025927198,-0.0005019087887508977,-0.00023496888553348002,-0.00013652401148082222,-0.00029346368578025744,6.427396088499992e-05,0.00011628501043357856,-5.96528551049656e-05,0.0002924310283453984
Kyle,2020-12-11,floor,13.396770201094187,7.889412035775625,22.930764876163668,-0.00030623669625592584,-0.0005540441407570337,-8.500544667569214e-05,-5.5884852208011525e-05,-0.00023770353372504346,0.00012542252813213674,8.405696174598599e-05,-0.00013953512738999212,0.0002700307778682509
Kyle,2020-12-11,well,,,,,,,,,,,,
Lazy,2020-11-21,floor,11.531588763144063,6.27127153377867,19.722098415191287,-0.00011140549530924373,-0.0003366752213328913,0.00014594861096511055,-0.00013683083860298762,-0.0003572968853368344,3.792605894553137e-05,0.00011515060819248972,-6.206087886873328e-05,0.0003170963329209182
